Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
201542I072503,545284,199086,0.0996,51.671766,42,3,2,1,04/03/2015,4,10:55,456,E10000012,4,172,6,30,3,4,6,0,0,0,1,1,1,0,0,2,1,E01021804
201542I072703,550789,235418,0.194967,51.996738,42,3,3,1,05/03/2015,5,08:44,463,E10000012,1,11,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01022071
201542I072803,612195,224167,1.081269,51.875684,42,3,2,1,04/03/2015,4,11:50,461,E10000012,6,0,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01022019
201542I072903,549441,198661,0.159489,51.666858,42,3,2,2,11/03/2015,4,06:48,456,E10000012,1,25,3,70,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01021800
201542I073003,594115,203192,0.807244,51.693905,42,3,1,1,04/03/2015,4,18:33,458,E10000012,6,0,6,40,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01021901
201542I073103,563330,189367,0.355816,51.579502,42,3,2,1,04/03/2015,4,03:53,452,E10000012,3,127,3,70,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01021446
201542I073203,564240,186014,0.367372,51.549115,42,3,1,1,04/03/2015,4,23:59,462,E06000034,3,128,6,50,3,4,6,0,0,0,4,1,1,0,0,2,1,E01015978
201542I073303,600874,228919,0.919806,51.922542,42,3,2,1,05/03/2015,5,06:25,455,E10000012,6,0,1,30,1,4,6,0,0,0,1,1,2,0,0,1,1,E01021682
201542I073403,581623,230812,0.641185,51.946151,42,3,3,1,05/03/2015,5,07:30,451,E10000012,3,131,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01021388
201542I073502,568126,182913,0.421885,51.520114,42,3,2,1,12/02/2015,5,16:00,462,E06000034,3,13,1,50,1,2,3,1014,0,0,1,1,1,0,0,2,1,E01015989
201542I073603,592058,184965,0.76754,51.53092,42,3,2,1,05/03/2015,5,07:55,460,E06000033,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01015919
201542I073703,609587,232274,1.048368,51.949454,42,3,2,1,15/03/2015,1,10:00,461,E10000012,3,137,6,30,5,4,6,0,0,0,1,1,1,0,0,2,2,E01022013
201542I073802,595682,226829,0.843216,51.905622,42,3,2,3,12/02/2015,5,19:06,455,E10000012,6,0,6,60,0,-1,-1,0,0,0,6,1,2,0,0,2,1,E01021729
201542I073903,569407,189543,0.443521,51.579291,42,3,2,1,05/03/2015,5,08:20,450,E10000012,3,1235,1,50,1,4,3,176,0,0,1,1,1,0,0,2,1,E01021268
201542I074003,560959,179643,0.317186,51.492823,42,3,2,1,05/03/2015,5,15:50,462,E06000034,3,1012,3,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01015939
201542I074102,578603,227598,0.595626,51.918261,42,3,2,2,13/02/2015,6,17:50,451,E10000012,3,131,6,60,0,-1,-1,0,0,0,6,1,2,0,0,2,1,E01021381
201542I074203,577083,195156,0.557018,51.627351,42,3,2,2,05/03/2015,5,08:58,454,E10000012,3,130,3,70,5,4,3,132,0,0,1,1,1,0,0,2,1,E01021594
201542I074302,585987,186369,0.68086,51.545561,42,3,1,1,15/02/2015,1,10:30,460,E06000033,3,13,6,30,0,-1,-1,0,0,8,1,1,1,0,0,1,1,E01015832
201542I074403,587645,186735,0.704937,51.5483,42,2,1,2,24/03/2015,3,14:36,460,E06000033,3,127,3,40,3,2,4,1015,0,5,1,1,1,0,0,1,1,E01015899
201542I074503,601495,224750,0.926389,51.884884,42,2,1,1,23/03/2015,2,07:17,455,E10000012,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01021685
201542I074603,565481,200177,0.391935,51.675986,42,3,2,4,06/03/2015,6,15:40,452,E10000012,3,12,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01021457
201542I074703,578486,192047,0.575684,51.598983,42,2,1,1,23/03/2015,2,17:10,459,E10000012,3,1245,1,40,1,4,3,129,0,0,1,1,1,0,0,2,1,E01021920
201542I074802,557620,180207,0.269381,51.49883,42,3,2,1,16/02/2015,2,11:05,462,E06000034,1,25,1,70,1,2,3,13,0,0,1,1,1,0,0,2,1,E01015928
201542I074903,599518,224516,0.897567,51.883493,42,2,2,1,23/03/2015,2,11:35,455,E10000012,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01021651
201542I075002,551138,221716,0.194032,51.873542,42,2,2,1,24/02/2015,3,07:49,463,E10000012,3,120,1,60,1,4,3,1256,0,0,1,1,1,0,0,2,1,E01022087
201542I075202,576489,223267,0.562705,51.880034,42,2,2,1,23/02/2015,2,10:10,451,E10000012,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01033459
201542I075302,573436,207421,0.510472,51.738658,42,3,2,1,23/02/2015,2,12:55,454,E10000012,6,0,1,40,1,4,6,0,0,0,1,1,1,0,0,1,1,E01021545
201542I075402,567701,189782,0.419037,51.581947,42,3,2,1,23/02/2015,2,09:14,450,E10000012,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01021278
201542I075502,563620,178130,0.354782,51.478467,42,3,2,1,23/02/2015,2,12:39,462,E06000034,3,126,6,50,3,4,3,1089,0,0,1,1,1,0,0,2,1,E01015935
201542I075602,594715,222032,0.826473,51.862883,42,3,2,1,23/02/2015,2,07:37,455,E10000012,4,1022,6,30,3,4,6,0,0,0,1,1,2,0,0,2,1,E01021721
201542I075702,560812,194464,0.321843,51.626016,42,3,2,1,23/02/2015,2,08:29,452,E10000012,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01021466
201542I075802,570975,187882,0.465321,51.563897,42,3,3,1,24/02/2015,3,15:00,450,E10000012,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01021295
201542I075902,578127,211430,0.580391,51.773196,42,3,2,1,24/02/2015,3,14:52,451,E10000012,4,1137,6,50,3,4,3,12,0,0,1,4,1,0,0,2,1,E01021396
201542I076003,600770,225690,0.916416,51.893586,42,3,3,2,18/03/2015,4,11:15,455,E10000012,3,133,6,40,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01021647
201542I076102,603379,231641,0.95779,51.946074,42,2,1,1,24/02/2015,3,12:59,455,E10000012,3,12,3,70,0,-1,-1,0,0,0,1,1,1,0,2,2,1,E01021655
201542I076302,584778,191920,0.666361,51.595815,42,3,3,1,25/02/2015,4,12:05,459,E10000012,4,1013,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01021933
201542I076402,575773,190914,0.535987,51.589658,42,3,3,1,26/02/2015,5,12:30,450,E10000012,3,127,3,70,5,4,6,0,0,0,1,2,2,0,0,2,1,E01021312
201542I076502,565219,218669,0.396932,51.842181,42,3,2,1,26/02/2015,5,06:40,463,E10000012,4,1008,6,60,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01022058
201542I076603,600051,224798,0.905464,51.885834,42,3,2,1,06/03/2015,6,14:28,455,E10000012,3,134,6,30,3,3,6,0,0,0,1,1,1,0,0,1,1,E01021686
201542I076702,578010,222455,0.58436,51.872258,42,3,2,1,26/02/2015,5,18:56,451,E10000012,3,120,3,70,0,-1,-1,0,0,0,7,1,1,0,0,2,1,E01021380
